HIP_ID,GAIA_ID,alpha,delta,muW,muW_err,muN,muN_err
22392,4655349652394811136,72.3017,-69.4565,-2.012,0.151,-0.226,0.151
22758,4655510043652327552,73.4304,-68.7148,-1.772,0.160,-0.296,0.171
22794,4655460771785226880,73.5594,-69.2101,-1.895,0.088,-0.122,0.088
22849,4661769941306044416,73.7390,-66.7524,-1.756,0.120,-0.045,0.130
22885,4661720532007512320,73.8400,-67.4365,-1.766,0.145,-0.030,0.147
22900,4655136518933846784,73.8853,-69.9625,-1.951,0.232,-0.102,0.221
22989,4655158131209278464,74.1962,-69.8402,-1.869,0.234,0.015,0.227
23177,4662293892954562048,74.7878,-65.6677,-1.613,0.162,0.026,0.159
23428,4654621500815442816,75.5308,-71.3370,-1.973,0.146,-0.099,0.140
23527,4655036841335115392,75.8733,-70.6998,-1.942,0.240,0.077,0.230
23665,4661920986713556352,76.3009,-66.7368,-1.675,0.104,0.005,0.114
23718,4661472145451256576,76.4813,-67.8864,-1.785,0.072,0.123,0.079
23820,4662061311885050624,76.8091,-66.0551,-1.555,0.212,0.238,0.216
24006,4651629489160555392,77.4122,-71.4006,-2.236,0.105,0.065,0.098
24080,4658269336800428672,77.5950,-68.7733,-1.896,0.092,0.169,0.094
24347,4658204053297963392,78.3783,-69.5399,-2.084,0.196,0.251,0.177
24694,4658137739001073280,79.4433,-69.8492,-1.882,0.131,0.182,0.126
24988,4660601607121368704,80.2571,-65.8007,-1.499,0.079,0.387,0.089
25097,4660444926713007872,80.5878,-66.2603,-1.510,0.173,0.337,0.191
25448,4658486455992620416,81.6454,-68.8687,-1.710,0.138,0.587,0.133
25615,4660175580731856128,82.0847,-67.4051,-1.568,0.204,0.479,0.208
25892,4660124762671796096,82.9101,-67.4699,-1.587,0.182,0.669,0.186
26135,4660246224352015232,83.5936,-67.0232,-1.633,0.095,0.429,0.113
26222,4657280635327480832,83.8193,-69.6773,-1.723,0.187,0.497,0.188
26338,4657700408260606592,84.1349,-68.9005,-1.874,0.185,0.621,0.200
26745,4657627943562907520,85.2409,-69.2586,-1.779,0.231,0.518,0.242
27142,4657722879521554176,86.3193,-68.9978,-1.733,0.142,0.705,0.137
27819,4659188769038018816,88.2918,-68.1186,-1.560,0.153,0.834,0.106
27868,4659091084305723392,88.4571,-68.3132,-1.661,0.154,0.843,0.111
